shipment_id,order_date,warehouse,origin_city,destination_city,product_category,quantity,order_value,distance_km,transportation_mode,shipping_cost,estimated_delivery_days,actual_delivery_days,delivery_status,delay_days,customer_segment,inventory_level,warehouse_capacity,fuel_cost,weather_condition
SHIP-10015,2025-06-01,WH-Central-Nagpur,Nagpur,Kochi,Automotive Parts,67,8050.89,1468,Road Freight (Truck),1226.64,7,8,Delayed,1,Enterprise,3862,6000,1.31,Clear
SHIP-10016,2025-05-11,WH-North-Delhi,Delhi,Surat,Consumer Goods,311,74462.85,1838,Rail Freight,1142.57,12,12,On-Time,0,Enterprise,4853,10000,1.54,Rainy
SHIP-10017,2025-05-30,WH-North-Delhi,Delhi,Kochi,Consumer Goods,40,9244.57,799,Road Freight (Truck),694.71,6,6,On-Time,0,SMB,8051,10000,1.58,Clear
SHIP-10018,2025-11-05,WH-North-Delhi,Delhi,Indore,Consumer Goods,258,22737.74,1481,Road Freight (Truck),1329.46,8,9,Delayed,1,SMB,6386,10000,1.67,Severe Heat
SHIP-10019,2025-09-15,WH-North-Delhi,Delhi,Coimbatore,Industrial Equipment,102,6541.12,809,Express Courier,1283.63,4,5,Delayed,1,Individual,6112,10000,1.44,Severe Heat
SHIP-10020,2025-12-10,WH-North-Delhi,Delhi,Surat,Consumer Goods,274,58743.77,1004,Road Freight (Truck),952.31,6,5,Early,0,Enterprise,6892,10000,1.75,Clear
SHIP-10021,2025-10-21,WH-South-Bengaluru,Bengaluru,Patna,Apparel,280,63816.05,1238,Road Freight (Truck),1153.75,7,10,Delayed,3,Enterprise,6657,8500,1.74,Foggy
SHIP-10022,2025-07-11,WH-West-Mumbai,Mumbai,Lucknow,Consumer Goods,103,14654.35,1688,Road Freight (Truck),1390.52,8,8,On-Time,0,Enterprise,8611,12000,1.68,Clear
SHIP-10023,2025-10-04,WH-Central-Nagpur,Nagpur,Chandigarh,Perishables,163,26555.08,742,Road Freight (Truck),696.41,4,4,On-Time,0,Individual,4962,6000,1.49,Clear
SHIP-10024,2025-06-10,WH-East-Kolkata,Kolkata,Indore,Consumer Goods,403,30376.07,1289,Express Courier,2094.72,4,5,Delayed,1,E-Commerce Retailer,5593,7500,1.39,Rainy
SHIP-10025,2025-11-10,WH-West-Mumbai,Mumbai,Coimbatore,Industrial Equipment,294,59737.46,1012,Road Freight (Truck),992.52,6,7,Delayed,1,E-Commerce Retailer,9844,12000,1.37,Clear
SHIP-10026,2025-01-22,WH-West-Mumbai,Mumbai,Chandigarh,Consumer Goods,89,14555.84,1072,Road Freight (Truck),890.32,6,5,Early,0,Individual,9329,12000,1.16,Clear
SHIP-10027,2025-09-10,WH-West-Mumbai,Mumbai,Jaipur,Electronics,301,40131.03,1374,Air Cargo,2595.25,5,5,On-Time,0,SMB,6489,12000,1.3,Clear
SHIP-10028,2025-08-24,WH-South-Bengaluru,Bengaluru,Indore,Industrial Equipment,93,2708.67,903,Road Freight (Truck),807.68,5,5,On-Time,0,SMB,4034,8500,1.58,Clear
SHIP-10029,2025-12-11,WH-West-Mumbai,Mumbai,Lucknow,Consumer Goods,374,86111.52,1991,Express Courier,3109.76,6,6,On-Time,0,Enterprise,10495,12000,1.51,Clear
SHIP-10030,2025-02-18,WH-South-Bengaluru,Bengaluru,Kanpur,Automotive Parts,383,61138.71,614,Road Freight (Truck),711.44,4,4,On-Time,0,SMB,7602,8500,1.7,Clear
SHIP-10031,2025-02-28,WH-West-Mumbai,Mumbai,Surat,Automotive Parts,46,2772.99,1181,Express Courier,1782.85,5,5,On-Time,0,SMB,9499,12000,1.18,Clear
SHIP-10032,2025-06-19,WH-South-Bengaluru,Bengaluru,Kochi,Automotive Parts,351,55282.76,1568,Road Freight (Truck),1397.06,8,8,On-Time,0,SMB,6718,8500,1.24,Clear
SHIP-10033,2025-07-07,WH-West-Mumbai,Mumbai,Lucknow,Electronics,336,58532.51,1790,Air Cargo,3379.68,5,7,Delayed,2,Individual,6923,12000,1.62,Foggy
SHIP-10034,2025-09-28,WH-West-Mumbai,Mumbai,Surat,Industrial Equipment,416,57639.31,1989,Rail Freight,1292.57,11,11,On-Time,0,Individual,8459,12000,1.37,Clear
SHIP-10035,2025-07-09,WH-Central-Nagpur,Nagpur,Chandigarh,Consumer Goods,434,79749.2,866,Road Freight (Truck),934.38,5,5,On-Time,0,E-Commerce Retailer,5498,6000,1.22,Foggy
SHIP-10036,2025-06-24,WH-East-Kolkata,Kolkata,Kochi,Automotive Parts,241,36545.64,556,Road Freight (Truck),640.87,5,6,Delayed,1,E-Commerce Retailer,6392,7500,1.75,Rainy
SHIP-10037,2025-02-20,WH-North-Delhi,Delhi,Bhopal,Apparel,102,24248.04,1974,Road Freight (Truck),1618.83,10,11,Delayed,1,E-Commerce Retailer,5930,10000,1.62,Rainy
SHIP-10038,2025-12-30,WH-Central-Nagpur,Nagpur,Patna,Automotive Parts,345,9528.49,1511,Road Freight (Truck),1353.51,9,9,On-Time,0,Enterprise,3548,6000,1.4,Rainy
SHIP-10039,2025-02-24,WH-West-Mumbai,Mumbai,Jaipur,Consumer Goods,111,4436.42,464,Road Freight (Truck),485.76,3,3,On-Time,0,Enterprise,8127,12000,1.64,Clear
SHIP-10040,2025-09-01,WH-Central-Nagpur,Nagpur,Indore,Apparel,421,23497.2,1303,Rail Freight,939.6,9,9,On-Time,0,E-Commerce Retailer,3840,6000,1.56,Clear
SHIP-10041,2025-11-16,WH-East-Kolkata,Kolkata,Lucknow,Electronics,441,78140.88,669,Express Courier,1235.84,4,4,On-Time,0,E-Commerce Retailer,4683,7500,1.62,Clear
SHIP-10042,2025-05-11,WH-West-Mumbai,Mumbai,Jaipur,Industrial Equipment,175,29175.13,1805,Rail Freight,1070.58,12,13,Delayed,1,Enterprise,8936,12000,1.64,Severe Heat
SHIP-10043,2025-11-03,WH-North-Delhi,Delhi,Kanpur,Consumer Goods,168,37738.48,2055,Express Courier,3098.28,7,7,On-Time,0,Individual,4554,10000,1.2,Rainy
SHIP-10044,2025-05-15,WH-West-Mumbai,Mumbai,Surat,Apparel,23,4306.2,939,Road Freight (Truck),803.53,6,6,On-Time,0,Enterprise,9705,12000,1.52,Clear
SHIP-10045,2025-01-21,WH-South-Bengaluru,Bengaluru,Surat,Industrial Equipment,382,51365.07,660,Express Courier,1197.45,3,3,On-Time,0,Enterprise,6781,8500,1.15,Clear
SHIP-10046,2025-11-25,WH-South-Bengaluru,Bengaluru,Lucknow,Apparel,234,58050.83,263,Road Freight (Truck),358.9,4,4,On-Time,0,E-Commerce Retailer,7142,8500,1.18,Severe Heat
SHIP-10047,2025-06-16,WH-West-Mumbai,Mumbai,Coimbatore,Electronics,82,6357.9,707,Road Freight (Truck),640.99,4,4,On-Time,0,Enterprise,10145,12000,1.69,Clear
SHIP-10048,2025-10-01,WH-North-Delhi,Delhi,Coimbatore,Apparel,258,54386.41,776,Road Freight (Truck),769.61,6,6,On-Time,0,Enterprise,7162,10000,1.47,Clear
SHIP-10049,2025-03-30,WH-East-Kolkata,Kolkata,Bhopal,Consumer Goods,100,11529.57,1884,Road Freight (Truck),1566.5,10,10,On-Time,0,Enterprise,6124,7500,1.59,Clear
SHIP-10050,2025-11-12,WH-Central-Nagpur,Nagpur,Patna,Consumer Goods,225,37676.87,1719,Rail Freight,1093.67,10,12,Delayed,2,E-Commerce Retailer,4088,6000,1.65,Severe Heat
SHIP-10051,2025-01-14,WH-South-Bengaluru,Bengaluru,Kochi,Electronics,99,18404.9,2002,Air Cargo,3665.08,5,4,Early,0,SMB,7626,8500,1.72,Clear
SHIP-10052,2025-08-30,WH-North-Delhi,Delhi,Kanpur,Electronics,38,6229.42,464,Express Courier,773.43,3,3,On-Time,0,E-Commerce Retailer,5396,10000,1.67,Clear
SHIP-10053,2025-09-22,WH-West-Mumbai,Mumbai,Jaipur,Consumer Goods,444,21320.53,1412,Rail Freight,1003.96,9,11,Delayed,2,SMB,10564,12000,1.44,Rainy
SHIP-10054,2025-12-12,WH-North-Delhi,Delhi,Coimbatore,Industrial Equipment,314,37395.36,1983,Road Freight (Truck),1717.49,10,10,On-Time,0,Enterprise,5715,10000,1.35,Clear
SHIP-10055,2025-02-22,WH-Central-Nagpur,Nagpur,Bhopal,Electronics,436,64064.98,815,Road Freight (Truck),883.04,5,5,On-Time,0,Individual,2989,6000,1.24,Stormy
SHIP-10056,2025-12-06,WH-North-Delhi,Delhi,Bhopal,Consumer Goods,229,49126.29,1916,Rail Freight,1164.24,12,12,On-Time,0,Enterprise,6563,10000,1.39,Clear
SHIP-10057,2025-04-02,WH-South-Bengaluru,Bengaluru,Lucknow,Perishables,337,40189.53,387,Road Freight (Truck),527.06,4,5,Delayed,1,Individual,6281,8500,1.37,Clear
SHIP-10058,2025-09-21,WH-West-Mumbai,Mumbai,Kanpur,Electronics,224,51722.86,288,Road Freight (Truck),367.04,4,6,Delayed,2,SMB,6702,12000,1.49,Foggy
SHIP-10059,2025-02-04,WH-South-Bengaluru,Bengaluru,Chandigarh,Apparel,230,27252.23,1914,Rail Freight,1151.01,11,12,Delayed,1,Individual,6045,8500,1.55,Severe Heat
SHIP-10060,2025-07-25,WH-South-Bengaluru,Bengaluru,Kochi,Industrial Equipment,398,57297.38,1882,Rail Freight,1213.82,11,11,On-Time,0,Enterprise,7052,8500,1.74,Clear
SHIP-10061,2025-03-22,WH-East-Kolkata,Kolkata,Patna,Perishables,51,10308.48,152,Express Courier,305.45,2,4,Delayed,2,SMB,4281,7500,1.59,Clear
SHIP-10062,2025-02-19,WH-North-Delhi,Delhi,Indore, Industrial Equipment,144,21891.01,496,Road Freight (Truck),535.85,4,3,Early,0,Enterprise,7227,10000,1.54,Foggy
SHIP-10063,2025-12-26,WH-North-Delhi,Delhi,Lucknow,Industrial Equipment,51,12273.21,1357,Rail Freight,778.01,8,8,On-Time,0,Enterprise,6094,10000,1.35,Clear
SHIP-10064,2025-01-02,WH-North-Delhi,Delhi,Kochi,Automotive Parts,173,29440.95,1705,Rail Freight,1008.12,10,13,Delayed,3,SMB,6989,10000,1.17,Stormy
SHIP-10065,2025-02-23,WH-Central-Nagpur,Nagpur,Indore,Consumer Goods,370,50999.59,1583,Rail Freight,1043.48,10,13,Delayed,3,Enterprise,4580,6000,1.32,Stormy
SHIP-10066,2025-04-16,WH-Central-Nagpur,Nagpur,Indore,Industrial Equipment,292,5998.88,1635,Rail Freight,1074.56,10,10,On-Time,0,SMB,3688,6000,1.61,Clear
SHIP-10067,2025-09-17,WH-South-Bengaluru,Bengaluru,Kanpur,Electronics,67,7519.22,512,Express Courier,853.41,4,4,On-Time,0,Enterprise,7797,8500,1.27,Severe Heat
SHIP-10068,2025-11-06,WH-South-Bengaluru,Bengaluru,Kanpur,Perishables,311,26535.57,608,Express Courier,1106.0,3,2,Early,0,Enterprise,6077,8500,1.58,Clear
SHIP-10069,2025-07-10,WH-South-Bengaluru,Bengaluru,Jaipur,Consumer Goods,331,63156.4,841,Express Courier,1448.65,3,4,Delayed,1,E-Commerce Retailer,7118,8500,1.5,Rainy
SHIP-10070,2025-08-06,WH-North-Delhi,Delhi,Bhopal,Apparel,34,2174.14,1065,Road Freight (Truck),913.23,6,6,On-Time,0,SMB,7908,10000,1.25,Clear
SHIP-10071,2025-02-13,WH-Central-Nagpur,Nagpur,Kochi,Consumer Goods,82,5184.59,1172,Road Freight (Truck),966.52,6,9,Delayed,3,SMB,5104,6000,1.31,Stormy
SHIP-10072,2025-06-11,WH-West-Mumbai,Mumbai,Lucknow,Industrial Equipment,382,22743.12,158,Road Freight (Truck),344.36,2,4,Delayed,2,SMB,6380,12000,1.45,Rainy
SHIP-10073,2025-07-21,WH-West-Mumbai,Mumbai,Surat,Electronics,420,18698.26,2002,Road Freight (Truck),1769.01,11,12,Delayed,1,E-Commerce Retailer,6655,12000,1.4,Rainy
SHIP-10074,2025-09-27,WH-South-Bengaluru,Bengaluru,Lucknow,Automotive Parts,138,12155.96,1755,Road Freight (Truck),1474.16,9,9,On-Time,0,Enterprise,5772,8500,1.62,Stormy
SHIP-10075,2025-12-17,WH-North-Delhi,Delhi,Jaipur,Automotive Parts,96,21426.4,1316,Rail Freight,804.68,8,9,Delayed,1,E-Commerce Retailer,8505,10000,1.59,Clear
SHIP-10076,2025-10-31,WH-North-Delhi,Delhi,Patna,Electronics,339,66819.68,1160,Road Freight (Truck),1108.04,6,7,Delayed,1,Individual,5428,10000,1.49,Clear
SHIP-10077,2025-09-28,WH-East-Kolkata,Kolkata,Bhopal,Industrial Equipment,435,81686.06,1199,Road Freight (Truck),1196.9,6,6,On-Time,0,E-Commerce Retailer,6798,7500,1.64,Foggy
SHIP-10078,2025-08-03,WH-North-Delhi,Delhi,Surat,Industrial Equipment,445,90056.5,345,Road Freight (Truck),505.83,3,4,Delayed,1,SMB,5099,10000,1.49,Rainy
SHIP-10079,2025-09-09,WH-South-Bengaluru,Bengaluru,Coimbatore,Apparel,162,12686.74,1701,Rail Freight,1035.87,10,10,On-Time,0,SMB,4524,8500,1.73,Stormy
SHIP-10080,2025-07-09,WH-North-Delhi,Delhi,Patna,Consumer Goods,191,42697.82,186,Road Freight (Truck),296.09,2,2,On-Time,0,E-Commerce Retailer,5285,10000,1.28,Stormy
SHIP-10081,2025-10-23,WH-West-Mumbai,Mumbai,Kanpur,Consumer Goods,134,6333.68,1340,Road Freight (Truck),1149.12,8,8,On-Time,0,SMB,8705,12000,1.58,Clear
SHIP-10082,2025-08-01,WH-West-Mumbai,Mumbai,Indore,Electronics,76,7147.13,1797,Rail Freight,1039.43,11,11,On-Time,0,Enterprise,10574,12000,1.37,Clear
SHIP-10083,2025-07-27,WH-West-Mumbai,Mumbai,Coimbatore,Consumer Goods,15,2293.29,954,Road Freight (Truck),813.32,5,5,On-Time,0,Enterprise,6838,12000,1.32,Clear
SHIP-10084,2025-08-25,WH-East-Kolkata,Kolkata,Lucknow,Automotive Parts,134,5250.48,1166,Road Freight (Truck),1011.49,7,7,On-Time,0,E-Commerce Retailer,5324,7500,1.26,Rainy
SHIP-10085,2025-12-04,WH-West-Mumbai,Mumbai,Lucknow,Electronics,323,60265.53,1118,Road Freight (Truck),1098.9,6,5,Early,0,Enterprise,6391,12000,1.48,Clear
SHIP-10086,2025-02-22,WH-South-Bengaluru,Bengaluru,Kanpur,Automotive Parts,335,35510.95,1749,Rail Freight,1139.29,11,13,Delayed,2,E-Commerce Retailer,6346,8500,1.28,Foggy
SHIP-10087,2025-10-07,WH-West-Mumbai,Mumbai,Jaipur,Consumer Goods,62,12358.79,1897,Rail Freight,1082.78,11,11,On-Time,0,SMB,6095,12000,1.27,Clear
SHIP-10088,2025-08-05,WH-South-Bengaluru,Bengaluru,Kochi,Apparel,75,9812.3,356,Road Freight (Truck),392.77,3,3,On-Time,0,SMB,5787,8500,1.74,Clear
SHIP-10089,2025-09-09,WH-Central-Nagpur,Nagpur,Coimbatore,Industrial Equipment,323,18574.28,1076,Road Freight (Truck),1051.31,7,7,On-Time,0,Enterprise,4547,6000,1.63,Clear
SHIP-10090,2025-07-07,WH-East-Kolkata,Kolkata,Coimbatore,Automotive Parts,91,17077.88,1038,Road Freight (Truck),931.11,6,6,On-Time,0,Enterprise,5416,7500,1.6,Clear
SHIP-10091,2025-02-10,WH-North-Delhi,Delhi,Chandigarh,Consumer Goods,96,7128.37,2066,Express Courier,3112.9,7,8,Delayed,1,Individual,5158,10000,1.63,Rainy
SHIP-10092,2025-06-06,WH-North-Delhi,Delhi,Patna,Consumer Goods,11,1433.74,1709,Road Freight (Truck),1392.05,8,8,On-Time,0,E-Commerce Retailer,5258,10000,1.73,Clear
SHIP-10093,2025-01-15,WH-West-Mumbai,Mumbai,Bhopal,Consumer Goods,213,6975.82,1281,Rail Freight,823.19,8,8,On-Time,0,E-Commerce Retailer,9186,12000,1.49,Clear
SHIP-10094,2025-10-28,WH-South-Bengaluru,Bengaluru,Patna,Electronics,159,25471.59,592,Road Freight (Truck),592.49,4,6,Delayed,2,SMB,7056,8500,1.28,Clear
SHIP-10095,2025-03-06,WH-North-Delhi,Delhi,Kochi,Consumer Goods,302,51785.93,1988,Express Courier,3085.75,6,8,Delayed,2,E-Commerce Retailer,8767,10000,1.67,Foggy
SHIP-10096,2025-12-11,WH-West-Mumbai,Mumbai,Lucknow,Consumer Goods,413,42947.23,1927,Rail Freight,1275.56,12,15,Delayed,3,SMB,9988,12000,1.6,Foggy
SHIP-10097,2025-11-23,WH-South-Bengaluru,Bengaluru,Lucknow,Consumer Goods,112,26800.41,672,Road Freight (Truck),619.11,4,3,Early,0,SMB,7715,8500,1.4,Clear
SHIP-10098,2025-01-09,WH-West-Mumbai,Mumbai,Lucknow,Industrial Equipment,33,7274.18,1753,Rail Freight,1007.53,11,12,Delayed,1,Enterprise,7702,12000,1.43,Rainy
SHIP-10099,2025-12-10,WH-East-Kolkata,Kolkata,Chandigarh,Consumer Goods,377,68375.03,814,Express Courier,1422.82,4,4,On-Time,0,SMB,4542,7500,1.4,Clear
SHIP-10100,2025-05-09,WH-North-Delhi,Delhi,Lucknow,Consumer Goods,221,40378.52,1783,Express Courier,2728.67,5,5,On-Time,0,E-Commerce Retailer,4632,10000,1.71,Clear
SHIP-10101,2025-05-16,WH-North-Delhi,Delhi,Kochi,Consumer Goods,74,5499.27,1372,Road Freight (Truck),1125.6,7,8,Delayed,1,Individual,6614,10000,1.36,Rainy
SHIP-10102,2025-03-04,WH-East-Kolkata,Kolkata,Kanpur,Industrial Equipment,218,36918.64,436,Express Courier,823.26,3,3,On-Time,0,Enterprise,5671,7500,1.73,Clear
SHIP-10103,2025-05-19,WH-West-Mumbai,Mumbai,Bhopal,Automotive Parts,260,16010.4,717,Express Courier,1216.15,4,6,Delayed,2,E-Commerce Retailer,9998,12000,1.7,Foggy
SHIP-10104,2025-03-22,WH-South-Bengaluru,Bengaluru,Kochi,Apparel,394,19243.26,887,Road Freight (Truck),948.04,5,5,On-Time,0,SMB,4893,8500,1.53,Clear
SHIP-10105,2025-06-12,WH-West-Mumbai,Mumbai,Bhopal,Industrial Equipment,126,31484.24,1864,Road Freight (Truck),1541.66,10,11,Delayed,1,SMB,8296,12000,1.5,Severe Heat
SHIP-10106,2025-10-16,WH-North-Delhi,Delhi,Kochi,Consumer Goods,125,20157.29,1870,Rail Freight,1102.37,12,12,On-Time,0,Enterprise,7611,10000,1.37,Clear
SHIP-10107,2025-09-18,WH-East-Kolkata,Kolkata,Lucknow,Apparel,246,28605.41,1005,Road Freight (Truck),940.14,7,8,Delayed,1,SMB,5319,7500,1.16,Rainy
SHIP-10108,2025-08-19,WH-East-Kolkata,Kolkata,Kanpur ,Consumer Goods,114,9429.93,1755,Rail Freight,1016.23,10,9,Early,0,SMB,4340,7500,1.23,Stormy
SHIP-10109,2025-02-10,WH-South-Bengaluru,Bengaluru,Coimbatore ,Consumer Goods,268,42054.91,680,Express Courier,1196.66,4,4,On-Time,0,Enterprise,7006,8500,1.6,Clear
SHIP-10110,2025-01-28,WH-West-Mumbai,Mumbai,Patna,Industrial Equipment,55,1466.0,1344,Road Freight (Truck),1112.07,8,8,On-Time,0,E-Commerce Retailer,6377,12000,1.43,Clear
SHIP-10111,2025-05-15,WH-South-Bengaluru,Bengaluru,Indore,Automotive Parts,320,11920.01,2091,Road Freight (Truck),1797.44,11,11,On-Time,0,E-Commerce Retailer,7440,8500,1.24,Clear
SHIP-10112,2025-07-20,WH-West-Mumbai,Mumbai,Kanpur,Electronics,340,7725.25,377,Road Freight (Truck),475.64,4,5,Delayed,1,SMB,10772,12000,1.31,Rainy
SHIP-10113,2025-11-24,WH-North-Delhi,Delhi,Coimbatore,Apparel,225,29768.6,1623,Rail Freight,1005.36,10,10,On-Time,0,Individual,6218,10000,1.72,Clear
SHIP-10114,2025-09-25,WH-Central-Nagpur,Nagpur,Jaipur,Apparel,310,48404.19,2031,Road Freight (Truck),1767.92,10,11,Delayed,1,Enterprise,3760,6000,1.37,Clear
SHIP-10115,2025-02-02,WH-North-Delhi,Delhi,Kochi,Electronics,419,12437.07,1321,Rail Freight,954.54,9,10,Delayed,1,Enterprise,7993,10000,1.69,Rainy
SHIP-10116,2025-02-17,WH-Central-Nagpur,Nagpur,Jaipur,Electronics,342,63094.81,876,Road Freight (Truck),877.43,6,6,On-Time,0,E-Commerce Retailer,3986,6000,1.33,Clear
SHIP-10117,2025-03-03,WH-West-Mumbai,Mumbai,Coimbatore,Consumer Goods,33,2281.71,242,Road Freight (Truck),262.03,3,4,Delayed,1,Enterprise,5561,12000,1.48,Rainy
SHIP-10118,2025-08-04,WH-North-Delhi,Delhi,Kanpur,Electronics,44,7744.98,461,Road Freight (Truck),438.99,3,3,On-Time,0,Enterprise,8823,10000,1.16,Clear
SHIP-10119,2025-10-20,WH-South-Bengaluru,Bengaluru,Kochi,Electronics,33,8109.61,1314,Air Cargo,2417.5,4,4,On-Time,0,Enterprise,5545,8500,1.46,Clear
SHIP-10120,2025-04-09,WH-Central-Nagpur,Nagpur,Indore ,Consumer Goods,37,6564.17,1988,Express Courier,2944.49,7,8,Delayed,1,Enterprise,3273,6000,1.53,Rainy
SHIP-10121,2025-06-21,WH-East-Kolkata,Kolkata,Lucknow,Consumer Goods,25,5563.76,1791,Rail Freight,1024.16,11,12,Delayed,1,E-Commerce Retailer,5333,7500,1.29,Rainy
SHIP-10122,2025-12-26,WH-East-Kolkata,Kolkata,Kochi,Industrial Equipment,68,16172.21,1202,Rail Freight,725.74,8,8,On-Time,0,Enterprise,4146,7500,1.5,Clear
SHIP-10123,2025-08-02,WH-South-Bengaluru,Bengaluru,Kochi,Apparel,252,32605.4,1848,Rail Freight,1155.77,12,16,Delayed,4,SMB,4648,8500,1.54,Clear
SHIP-10124,2025-02-04,WH-South-Bengaluru,Bengaluru,Kanpur,Perishables,447,80480.73,1608,Road Freight (Truck),1471.2,9,10,Delayed,1,Enterprise,6005,8500,1.56,Clear
SHIP-10125,2025-08-15,WH-East-Kolkata,Kolkata,Kanpur,Consumer Goods,216,46485.96,1923,Rail Freight,1149.8,11,10,Early,0,E-Commerce Retailer,4753,7500,1.62,Clear
SHIP-10126,2025-04-11,WH-North-Delhi,Delhi,Coimbatore,Industrial Equipment,409,40410.47,379,Road Freight (Truck),551.29,3,2,Early,0,Enterprise,7193,10000,1.34,Clear
SHIP-10127,2025-05-11,WH-West-Mumbai,Mumbai,Surat,Automotive Parts,280,21399.94,1516,Rail Freight,990.59,9,9,On-Time,0,E-Commerce Retailer,11022,12000,1.49,Clear
SHIP-10128,2025-09-14,WH-North-Delhi,Delhi,Kochi,Apparel,258,61262.27,214,Road Freight (Truck),365.7,2,3,Delayed,1,SMB,8537,10000,1.74,Rainy
SHIP-10129,2025-01-05,WH-Central-Nagpur,Nagpur,Patna,Consumer Goods,276,51248.05,1268,Road Freight (Truck),1150.85,7,7,On-Time,0,Enterprise,2721,6000,1.69,Rainy
SHIP-10130,2025-08-06,WH-Central-Nagpur,Nagpur,Kochi,Industrial Equipment,202,13458.31,160,Road Freight (Truck),286.37,3,3,On-Time,0,SMB,2842,6000,1.72,Clear
SHIP-10131,2025-09-12,WH-North-Delhi,Delhi,Coimbatore,Electronics,344,41463.9,2034,Express Courier,3126.98,6,6,On-Time,0,Enterprise,7367,10000,1.38,Clear
SHIP-10132,2025-12-25,WH-East-Kolkata,Kolkata,Bhopal,Consumer Goods,227,45891.72,373,Road Freight (Truck),449.62,3,5,Delayed,2,SMB,5582,7500,1.62,Clear
SHIP-10133,2025-10-10,WH-Central-Nagpur,Nagpur,Jaipur,Apparel,124,17801.42,126,Road Freight (Truck),224.42,2,2,On-Time,0,Enterprise,5176,6000,1.52,Clear
SHIP-10134,2025-07-26,WH-North-Delhi,Delhi,Lucknow,Apparel,77,12915.88,1614,Rail Freight,940.85,10,13,Delayed,3,Individual,7456,10000,1.2,Stormy
SHIP-10135,2025-01-15,WH-South-Bengaluru,Bengaluru,Surat,Electronics,308,59177.74,847,Express Courier,1424.99,3,4,Delayed,1,Enterprise,4734,8500,1.64,Rainy
SHIP-10136,2025-12-12,WH-Central-Nagpur,Nagpur,Indore,Perishables,334,53831.5,1654,Express Courier,2614.94,5,5,On-Time,0,E-Commerce Retailer,4021,6000,1.56,Rainy
SHIP-10137,2025-02-11,WH-North-Delhi,Delhi,Indore,Apparel,406,57618.97,1724,Rail Freight,1143.06,11,13,Delayed,2,Enterprise,8302,10000,1.27,Foggy
SHIP-10138,2025-06-28,WH-South-Bengaluru,Bengaluru,Indore,Consumer Goods,403,77037.22,188,Road Freight (Truck),382.84,2,2,On-Time,0,Enterprise,7511,8500,1.2,Clear
SHIP-10139,2025-03-04,WH-West-Mumbai,Mumbai,Kanpur,Perishables,84,15622.09,1224,Road Freight (Truck),1047.04,7,6,Early,0,SMB,6736,12000,1.65,Clear
