shipment_id,order_date,warehouse,origin_city,destination_city,product_category,quantity,order_value,distance_km,transportation_mode,shipping_cost,estimated_delivery_days,actual_delivery_days,delivery_status,delay_days,customer_segment,inventory_level,warehouse_capacity,fuel_cost,weather_condition,delivery_time,cost_per_km,cost_per_shipment,is_delayed,is_on_time,warehouse_utilization,route
SHIP-10013,2025-04-10,WH-North-Delhi,Delhi,Patna,Consumer Goods,285,56239.05,1168,Road Freight (Truck),1058.98,7,7,On-Time,0,Enterprise,5327,10000,1.16,Clear,7,0.9067,1058.98,0,1,53.27,Delhi -> Patna
SHIP-10014,2025-12-26,WH-West-Mumbai,Mumbai,Lucknow,Consumer Goods,273,32758.41,625,Road Freight (Truck),670.58,5,5,On-Time,0,SMB,6295,12000,1.45,Clear,5,1.0729,670.58,0,1,52.46,Mumbai -> Lucknow
SHIP-10015,2025-06-01,WH-Central-Nagpur,Nagpur,Kochi,Automotive Parts,67,8050.89,1468,Road Freight (Truck),1226.64,7,8,Delayed,1,Enterprise,3862,6000,1.31,Clear,8,0.8356,1226.64,1,0,64.37,Nagpur -> Kochi
SHIP-10016,2025-05-11,WH-North-Delhi,Delhi,Surat,Consumer Goods,311,74462.85,1838,Rail Freight,1142.57,12,12,On-Time,0,Enterprise,4853,10000,1.54,Rainy,12,0.6216,1142.57,0,1,48.53,Delhi -> Surat
SHIP-10017,2025-05-30,WH-North-Delhi,Delhi,Kochi,Consumer Goods,40,9244.57,799,Road Freight (Truck),694.71,6,6,On-Time,0,SMB,8051,10000,1.58,Clear,6,0.8695,694.71,0,1,80.51,Delhi -> Kochi
SHIP-10018,2025-11-05,WH-North-Delhi,Delhi,Indore,Consumer Goods,258,22737.74,1481,Road Freight (Truck),1329.46,8,9,Delayed,1,SMB,6386,10000,1.67,Severe Heat,9,0.8977,1329.46,1,0,63.86,Delhi -> Indore
SHIP-10019,2025-09-15,WH-North-Delhi,Delhi,Coimbatore,Industrial Equipment,102,6541.12,809,Express Courier,1283.63,4,5,Delayed,1,Individual,6112,10000,1.44,Severe Heat,5,1.5867,1283.63,1,0,61.12,Delhi -> Coimbatore
SHIP-10020,2025-12-10,WH-North-Delhi,Delhi,Surat,Consumer Goods,274,58743.77,1004,Road Freight (Truck),952.31,6,5,Early,0,Enterprise,6892,10000,1.75,Clear,5,0.9485,952.31,0,1,68.92,Delhi -> Surat
SHIP-10021,2025-10-21,WH-South-Bengaluru,Bengaluru,Patna,Apparel,280,63816.05,1238,Road Freight (Truck),1153.75,7,10,Delayed,3,Enterprise,6657,8500,1.74,Foggy,10,0.9319,1153.75,1,0,78.32,Bengaluru -> Patna
SHIP-10022,2025-07-11,WH-West-Mumbai,Mumbai,Lucknow,Consumer Goods,103,14654.35,1688,Road Freight (Truck),1390.52,8,8,On-Time,0,Enterprise,8611,12000,1.68,Clear,8,0.8238,1390.52,0,1,71.76,Mumbai -> Lucknow
SHIP-10023,2025-10-04,WH-Central-Nagpur,Nagpur,Chandigarh,Perishables,163,26555.08,742,Road Freight (Truck),696.41,4,4,On-Time,0,Individual,4962,6000,1.49,Clear,4,0.9386,696.41,0,1,82.7,Nagpur -> Chandigarh
SHIP-10024,2025-06-10,WH-East-Kolkata,Kolkata,Indore,Consumer Goods,403,30376.07,1289,Express Courier,2094.72,4,5,Delayed,1,E-Commerce Retailer,5593,7500,1.39,Rainy,5,1.6251,2094.72,1,0,74.57,Kolkata -> Indore
SHIP-10025,2025-11-10,WH-West-Mumbai,Mumbai,Coimbatore,Industrial Equipment,294,59737.46,1012,Road Freight (Truck),992.52,6,7,Delayed,1,E-Commerce Retailer,9844,12000,1.37,Clear,7,0.9808,992.52,1,0,82.03,Mumbai -> Coimbatore
SHIP-10026,2025-01-22,WH-West-Mumbai,Mumbai,Chandigarh,Consumer Goods,89,14555.84,1072,Road Freight (Truck),890.32,6,5,Early,0,Individual,9329,12000,1.16,Clear,5,0.8305,890.32,0,1,77.74,Mumbai -> Chandigarh
SHIP-10027,2025-09-10,WH-West-Mumbai,Mumbai,Jaipur,Electronics,301,40131.03,1374,Air Cargo,2595.25,5,5,On-Time,0,SMB,6489,12000,1.3,Clear,5,1.8888,2595.25,0,1,54.08,Mumbai -> Jaipur
SHIP-10028,2025-08-24,WH-South-Bengaluru,Bengaluru,Indore,Industrial Equipment,93,2708.67,903,Road Freight (Truck),807.68,5,5,On-Time,0,SMB,4034,8500,1.58,Clear,5,0.8944,807.68,0,1,47.46,Bengaluru -> Indore
SHIP-10029,2025-12-11,WH-West-Mumbai,Mumbai,Lucknow,Consumer Goods,374,86111.52,1991,Express Courier,3109.76,6,6,On-Time,0,Enterprise,10495,12000,1.51,Clear,6,1.5619,3109.76,0,1,87.46,Mumbai -> Lucknow
SHIP-10030,2025-02-18,WH-South-Bengaluru,Bengaluru,Kanpur,Automotive Parts,383,61138.71,614,Road Freight (Truck),711.44,4,4,On-Time,0,SMB,7602,8500,1.7,Clear,4,1.1587,711.44,0,1,89.44,Bengaluru -> Kanpur
SHIP-10031,2025-02-28,WH-West-Mumbai,Mumbai,Surat,Automotive Parts,46,2772.99,1181,Express Courier,1782.85,5,5,On-Time,0,SMB,9499,12000,1.18,Clear,5,1.5096,1782.85,0,1,79.16,Mumbai -> Surat
SHIP-10032,2025-06-19,WH-South-Bengaluru,Bengaluru,Kochi,Automotive Parts,351,55282.76,1568,Road Freight (Truck),1397.06,8,8,On-Time,0,SMB,6718,8500,1.24,Clear,8,0.891,1397.06,0,1,79.04,Bengaluru -> Kochi
SHIP-10033,2025-07-07,WH-West-Mumbai,Mumbai,Lucknow,Electronics,336,58532.51,1790,Air Cargo,3379.68,5,7,Delayed,2,Individual,6923,12000,1.62,Foggy,7,1.8881,3379.68,1,0,57.69,Mumbai -> Lucknow
SHIP-10034,2025-09-28,WH-West-Mumbai,Mumbai,Surat,Industrial Equipment,416,57639.31,1989,Rail Freight,1292.57,11,11,On-Time,0,Individual,8459,12000,1.37,Clear,11,0.6499,1292.57,0,1,70.49,Mumbai -> Surat
SHIP-10035,2025-07-09,WH-Central-Nagpur,Nagpur,Chandigarh,Consumer Goods,434,79749.2,866,Road Freight (Truck),934.38,5,5,On-Time,0,E-Commerce Retailer,5498,6000,1.22,Foggy,5,1.079,934.38,0,1,91.63,Nagpur -> Chandigarh
SHIP-10036,2025-06-24,WH-East-Kolkata,Kolkata,Kochi,Automotive Parts,241,36545.64,556,Road Freight (Truck),640.87,5,6,Delayed,1,E-Commerce Retailer,6392,7500,1.75,Rainy,6,1.1526,640.87,1,0,85.23,Kolkata -> Kochi
SHIP-10037,2025-02-20,WH-North-Delhi,Delhi,Bhopal,Apparel,102,24248.04,1974,Road Freight (Truck),1618.83,10,11,Delayed,1,E-Commerce Retailer,5930,10000,1.62,Rainy,11,0.8201,1618.83,1,0,59.3,Delhi -> Bhopal
SHIP-10038,2025-12-30,WH-Central-Nagpur,Nagpur,Patna,Automotive Parts,345,9528.49,1511,Road Freight (Truck),1353.51,9,9,On-Time,0,Enterprise,3548,6000,1.4,Rainy,9,0.8958,1353.51,0,1,59.13,Nagpur -> Patna
SHIP-10039,2025-02-24,WH-West-Mumbai,Mumbai,Jaipur,Consumer Goods,111,4436.42,464,Road Freight (Truck),485.76,3,3,On-Time,0,Enterprise,8127,12000,1.64,Clear,3,1.0469,485.76,0,1,67.73,Mumbai -> Jaipur
SHIP-10040,2025-09-01,WH-Central-Nagpur,Nagpur,Indore,Apparel,421,23497.2,1303,Rail Freight,939.6,9,9,On-Time,0,E-Commerce Retailer,3840,6000,1.56,Clear,9,0.7211,939.6,0,1,64.0,Nagpur -> Indore
SHIP-10041,2025-11-16,WH-East-Kolkata,Kolkata,Lucknow,Electronics,441,78140.88,669,Express Courier,1235.84,4,4,On-Time,0,E-Commerce Retailer,4683,7500,1.62,Clear,4,1.8473,1235.84,0,1,62.44,Kolkata -> Lucknow
SHIP-10042,2025-05-11,WH-West-Mumbai,Mumbai,Jaipur,Industrial Equipment,175,29175.13,1805,Rail Freight,1070.58,12,13,Delayed,1,Enterprise,8936,12000,1.64,Severe Heat,13,0.5931,1070.58,1,0,74.47,Mumbai -> Jaipur
SHIP-10043,2025-11-03,WH-North-Delhi,Delhi,Kanpur,Consumer Goods,168,37738.48,2055,Express Courier,3098.28,7,7,On-Time,0,Individual,4554,10000,1.2,Rainy,7,1.5077,3098.28,0,1,45.54,Delhi -> Kanpur
SHIP-10044,2025-05-15,WH-West-Mumbai,Mumbai,Surat,Apparel,23,4306.2,939,Road Freight (Truck),803.53,6,6,On-Time,0,Enterprise,9705,12000,1.52,Clear,6,0.8557,803.53,0,1,80.88,Mumbai -> Surat
SHIP-10045,2025-01-21,WH-South-Bengaluru,Bengaluru,Surat,Industrial Equipment,382,51365.07,660,Express Courier,1197.45,3,3,On-Time,0,Enterprise,6781,8500,1.15,Clear,3,1.8143,1197.45,0,1,79.78,Bengaluru -> Surat
SHIP-10046,2025-11-25,WH-South-Bengaluru,Bengaluru,Lucknow,Apparel,234,58050.83,263,Road Freight (Truck),358.9,4,4,On-Time,0,E-Commerce Retailer,7142,8500,1.18,Severe Heat,4,1.3646,358.9,0,1,84.02,Bengaluru -> Lucknow
SHIP-10047,2025-06-16,WH-West-Mumbai,Mumbai,Coimbatore,Electronics,82,6357.9,707,Road Freight (Truck),640.99,4,4,On-Time,0,Enterprise,10145,12000,1.69,Clear,4,0.9066,640.99,0,1,84.54,Mumbai -> Coimbatore
SHIP-10048,2025-10-01,WH-North-Delhi,Delhi,Coimbatore,Apparel,258,54386.41,776,Road Freight (Truck),769.61,6,6,On-Time,0,Enterprise,7162,10000,1.47,Clear,6,0.9918,769.61,0,1,71.62,Delhi -> Coimbatore
SHIP-10049,2025-03-30,WH-East-Kolkata,Kolkata,Bhopal,Consumer Goods,100,11529.57,1884,Road Freight (Truck),1566.5,10,10,On-Time,0,Enterprise,6124,7500,1.59,Clear,10,0.8315,1566.5,0,1,81.65,Kolkata -> Bhopal
SHIP-10050,2025-11-12,WH-Central-Nagpur,Nagpur,Patna,Consumer Goods,225,37676.87,1719,Rail Freight,1093.67,10,12,Delayed,2,E-Commerce Retailer,4088,6000,1.65,Severe Heat,12,0.6362,1093.67,1,0,68.13,Nagpur -> Patna
SHIP-10051,2025-01-14,WH-South-Bengaluru,Bengaluru,Kochi,Electronics,99,18404.9,2002,Air Cargo,3665.08,5,4,Early,0,SMB,7626,8500,1.72,Clear,4,1.8307,3665.08,0,1,89.72,Bengaluru -> Kochi
SHIP-10052,2025-08-30,WH-North-Delhi,Delhi,Kanpur,Electronics,38,6229.42,464,Express Courier,773.43,3,3,On-Time,0,E-Commerce Retailer,5396,10000,1.67,Clear,3,1.6669,773.43,0,1,53.96,Delhi -> Kanpur
SHIP-10053,2025-09-22,WH-West-Mumbai,Mumbai,Jaipur,Consumer Goods,444,21320.53,1412,Rail Freight,1003.96,9,11,Delayed,2,SMB,10564,12000,1.44,Rainy,11,0.711,1003.96,1,0,88.03,Mumbai -> Jaipur
SHIP-10054,2025-12-12,WH-North-Delhi,Delhi,Coimbatore,Industrial Equipment,314,37395.36,1983,Road Freight (Truck),1717.49,10,10,On-Time,0,Enterprise,5715,10000,1.35,Clear,10,0.8661,1717.49,0,1,57.15,Delhi -> Coimbatore
SHIP-10055,2025-02-22,WH-Central-Nagpur,Nagpur,Bhopal,Electronics,436,64064.98,815,Road Freight (Truck),883.04,5,5,On-Time,0,Individual,2989,6000,1.24,Stormy,5,1.0835,883.04,0,1,49.82,Nagpur -> Bhopal
SHIP-10056,2025-12-06,WH-North-Delhi,Delhi,Bhopal,Consumer Goods,229,49126.29,1916,Rail Freight,1164.24,12,12,On-Time,0,Enterprise,6563,10000,1.39,Clear,12,0.6076,1164.24,0,1,65.63,Delhi -> Bhopal
SHIP-10057,2025-04-02,WH-South-Bengaluru,Bengaluru,Lucknow,Perishables,337,40189.53,387,Road Freight (Truck),527.06,4,5,Delayed,1,Individual,6281,8500,1.37,Clear,5,1.3619,527.06,1,0,73.89,Bengaluru -> Lucknow
SHIP-10058,2025-09-21,WH-West-Mumbai,Mumbai,Kanpur,Electronics,224,51722.86,288,Road Freight (Truck),367.04,4,6,Delayed,2,SMB,6702,12000,1.49,Foggy,6,1.2744,367.04,1,0,55.85,Mumbai -> Kanpur
SHIP-10059,2025-02-04,WH-South-Bengaluru,Bengaluru,Chandigarh,Apparel,230,27252.23,1914,Rail Freight,1151.01,11,12,Delayed,1,Individual,6045,8500,1.55,Severe Heat,12,0.6014,1151.01,1,0,71.12,Bengaluru -> Chandigarh
SHIP-10060,2025-07-25,WH-South-Bengaluru,Bengaluru,Kochi,Industrial Equipment,398,57297.38,1882,Rail Freight,1213.82,11,11,On-Time,0,Enterprise,7052,8500,1.74,Clear,11,0.645,1213.82,0,1,82.96,Bengaluru -> Kochi
SHIP-10061,2025-03-22,WH-East-Kolkata,Kolkata,Patna,Perishables,51,10308.48,152,Express Courier,305.45,2,4,Delayed,2,SMB,4281,7500,1.59,Clear,4,2.0095,305.45,1,0,57.08,Kolkata -> Patna
SHIP-10062,2025-02-19,WH-North-Delhi,Delhi,Indore,Industrial Equipment,144,21891.01,496,Road Freight (Truck),535.85,4,3,Early,0,Enterprise,7227,10000,1.54,Foggy,3,1.0803,535.85,0,1,72.27,Delhi -> Indore
SHIP-10063,2025-12-26,WH-North-Delhi,Delhi,Lucknow,Industrial Equipment,51,12273.21,1357,Rail Freight,778.01,8,8,On-Time,0,Enterprise,6094,10000,1.35,Clear,8,0.5733,778.01,0,1,60.94,Delhi -> Lucknow
SHIP-10064,2025-01-02,WH-North-Delhi,Delhi,Kochi,Automotive Parts,173,29440.95,1705,Rail Freight,1008.12,10,13,Delayed,3,SMB,6989,10000,1.17,Stormy,13,0.5913,1008.12,1,0,69.89,Delhi -> Kochi
SHIP-10065,2025-02-23,WH-Central-Nagpur,Nagpur,Indore,Consumer Goods,370,50999.59,1583,Rail Freight,1043.48,10,13,Delayed,3,Enterprise,4580,6000,1.32,Stormy,13,0.6592,1043.48,1,0,76.33,Nagpur -> Indore
SHIP-10066,2025-04-16,WH-Central-Nagpur,Nagpur,Indore,Industrial Equipment,292,5998.88,1635,Rail Freight,1074.56,10,10,On-Time,0,SMB,3688,6000,1.61,Clear,10,0.6572,1074.56,0,1,61.47,Nagpur -> Indore
SHIP-10067,2025-09-17,WH-South-Bengaluru,Bengaluru,Kanpur,Electronics,67,7519.22,512,Express Courier,853.41,4,4,On-Time,0,Enterprise,7797,8500,1.27,Severe Heat,4,1.6668,853.41,0,1,91.73,Bengaluru -> Kanpur
SHIP-10068,2025-11-06,WH-South-Bengaluru,Bengaluru,Kanpur,Perishables,311,26535.57,608,Express Courier,1106.0,3,2,Early,0,Enterprise,6077,8500,1.58,Clear,2,1.8191,1106.0,0,1,71.49,Bengaluru -> Kanpur
SHIP-10069,2025-07-10,WH-South-Bengaluru,Bengaluru,Jaipur,Consumer Goods,331,63156.4,841,Express Courier,1448.65,3,4,Delayed,1,E-Commerce Retailer,7118,8500,1.5,Rainy,4,1.7225,1448.65,1,0,83.74,Bengaluru -> Jaipur
SHIP-10070,2025-08-06,WH-North-Delhi,Delhi,Bhopal,Apparel,34,2174.14,1065,Road Freight (Truck),913.23,6,6,On-Time,0,SMB,7908,10000,1.25,Clear,6,0.8575,913.23,0,1,79.08,Delhi -> Bhopal
SHIP-10071,2025-02-13,WH-Central-Nagpur,Nagpur,Kochi,Consumer Goods,82,5184.59,1172,Road Freight (Truck),966.52,6,9,Delayed,3,SMB,5104,6000,1.31,Stormy,9,0.8247,966.52,1,0,85.07,Nagpur -> Kochi
SHIP-10072,2025-06-11,WH-West-Mumbai,Mumbai,Lucknow,Industrial Equipment,382,22743.12,158,Road Freight (Truck),344.36,2,4,Delayed,2,SMB,6380,12000,1.45,Rainy,4,2.1795,344.36,1,0,53.17,Mumbai -> Lucknow
SHIP-10073,2025-07-21,WH-West-Mumbai,Mumbai,Surat,Electronics,420,18698.26,2002,Road Freight (Truck),1769.01,11,12,Delayed,1,E-Commerce Retailer,6655,12000,1.4,Rainy,12,0.8836,1769.01,1,0,55.46,Mumbai -> Surat
SHIP-10074,2025-09-27,WH-South-Bengaluru,Bengaluru,Lucknow,Automotive Parts,138,12155.96,1755,Road Freight (Truck),1474.16,9,9,On-Time,0,Enterprise,5772,8500,1.62,Stormy,9,0.84,1474.16,0,1,67.91,Bengaluru -> Lucknow
SHIP-10075,2025-12-17,WH-North-Delhi,Delhi,Jaipur,Automotive Parts,96,21426.4,1316,Rail Freight,804.68,8,9,Delayed,1,E-Commerce Retailer,8505,10000,1.59,Clear,9,0.6115,804.68,1,0,85.05,Delhi -> Jaipur
SHIP-10076,2025-10-31,WH-North-Delhi,Delhi,Patna,Electronics,339,66819.68,1160,Road Freight (Truck),1108.04,6,7,Delayed,1,Individual,5428,10000,1.49,Clear,7,0.9552,1108.04,1,0,54.28,Delhi -> Patna
SHIP-10077,2025-09-28,WH-East-Kolkata,Kolkata,Bhopal,Industrial Equipment,435,81686.06,1199,Road Freight (Truck),1196.9,6,6,On-Time,0,E-Commerce Retailer,6798,7500,1.64,Foggy,6,0.9982,1196.9,0,1,90.64,Kolkata -> Bhopal
SHIP-10078,2025-08-03,WH-North-Delhi,Delhi,Surat,Industrial Equipment,445,90056.5,345,Road Freight (Truck),505.83,3,4,Delayed,1,SMB,5099,10000,1.49,Rainy,4,1.4662,505.83,1,0,50.99,Delhi -> Surat
SHIP-10079,2025-09-09,WH-South-Bengaluru,Bengaluru,Coimbatore,Apparel,162,12686.74,1701,Rail Freight,1035.87,10,10,On-Time,0,SMB,4524,8500,1.73,Stormy,10,0.609,1035.87,0,1,53.22,Bengaluru -> Coimbatore
SHIP-10080,2025-07-09,WH-North-Delhi,Delhi,Patna,Consumer Goods,191,42697.82,186,Road Freight (Truck),296.09,2,2,On-Time,0,E-Commerce Retailer,5285,10000,1.28,Stormy,2,1.5919,296.09,0,1,52.85,Delhi -> Patna
SHIP-10081,2025-10-23,WH-West-Mumbai,Mumbai,Kanpur,Consumer Goods,134,6333.68,1340,Road Freight (Truck),1149.12,8,8,On-Time,0,SMB,8705,12000,1.58,Clear,8,0.8576,1149.12,0,1,72.54,Mumbai -> Kanpur
SHIP-10082,2025-08-01,WH-West-Mumbai,Mumbai,Indore,Electronics,76,7147.13,1797,Rail Freight,1039.43,11,11,On-Time,0,Enterprise,10574,12000,1.37,Clear,11,0.5784,1039.43,0,1,88.12,Mumbai -> Indore
SHIP-10083,2025-07-27,WH-West-Mumbai,Mumbai,Coimbatore,Consumer Goods,15,2293.29,954,Road Freight (Truck),813.32,5,5,On-Time,0,Enterprise,6838,12000,1.32,Clear,5,0.8525,813.32,0,1,56.98,Mumbai -> Coimbatore
SHIP-10084,2025-08-25,WH-East-Kolkata,Kolkata,Lucknow,Automotive Parts,134,5250.48,1166,Road Freight (Truck),1011.49,7,7,On-Time,0,E-Commerce Retailer,5324,7500,1.26,Rainy,7,0.8675,1011.49,0,1,70.99,Kolkata -> Lucknow
SHIP-10085,2025-12-04,WH-West-Mumbai,Mumbai,Lucknow,Electronics,323,60265.53,1118,Road Freight (Truck),1098.9,6,5,Early,0,Enterprise,6391,12000,1.48,Clear,5,0.9829,1098.9,0,1,53.26,Mumbai -> Lucknow
SHIP-10086,2025-02-22,WH-South-Bengaluru,Bengaluru,Kanpur,Automotive Parts,335,35510.95,1749,Rail Freight,1139.29,11,13,Delayed,2,E-Commerce Retailer,6346,8500,1.28,Foggy,13,0.6514,1139.29,1,0,74.66,Bengaluru -> Kanpur
SHIP-10087,2025-10-07,WH-West-Mumbai,Mumbai,Jaipur,Consumer Goods,62,12358.79,1897,Rail Freight,1082.78,11,11,On-Time,0,SMB,6095,12000,1.27,Clear,11,0.5708,1082.78,0,1,50.79,Mumbai -> Jaipur
SHIP-10088,2025-08-05,WH-South-Bengaluru,Bengaluru,Kochi,Apparel,75,9812.3,356,Road Freight (Truck),392.77,3,3,On-Time,0,SMB,5787,8500,1.74,Clear,3,1.1033,392.77,0,1,68.08,Bengaluru -> Kochi
SHIP-10089,2025-09-09,WH-Central-Nagpur,Nagpur,Coimbatore,Industrial Equipment,323,18574.28,1076,Road Freight (Truck),1051.31,7,7,On-Time,0,Enterprise,4547,6000,1.63,Clear,7,0.9771,1051.31,0,1,75.78,Nagpur -> Coimbatore
SHIP-10090,2025-07-07,WH-East-Kolkata,Kolkata,Coimbatore,Automotive Parts,91,17077.88,1038,Road Freight (Truck),931.11,6,6,On-Time,0,Enterprise,5416,7500,1.6,Clear,6,0.897,931.11,0,1,72.21,Kolkata -> Coimbatore
SHIP-10091,2025-02-10,WH-North-Delhi,Delhi,Chandigarh,Consumer Goods,96,7128.37,2066,Express Courier,3112.9,7,8,Delayed,1,Individual,5158,10000,1.63,Rainy,8,1.5067,3112.9,1,0,51.58,Delhi -> Chandigarh
SHIP-10092,2025-06-06,WH-North-Delhi,Delhi,Patna,Consumer Goods,11,1433.74,1709,Road Freight (Truck),1392.05,8,8,On-Time,0,E-Commerce Retailer,5258,10000,1.73,Clear,8,0.8145,1392.05,0,1,52.58,Delhi -> Patna
SHIP-10093,2025-01-15,WH-West-Mumbai,Mumbai,Bhopal,Consumer Goods,213,6975.82,1281,Rail Freight,823.19,8,8,On-Time,0,E-Commerce Retailer,9186,12000,1.49,Clear,8,0.6426,823.19,0,1,76.55,Mumbai -> Bhopal
SHIP-10094,2025-10-28,WH-South-Bengaluru,Bengaluru,Patna,Electronics,159,25471.59,592,Road Freight (Truck),592.49,4,6,Delayed,2,SMB,7056,8500,1.28,Clear,6,1.0008,592.49,1,0,83.01,Bengaluru -> Patna
SHIP-10095,2025-03-06,WH-North-Delhi,Delhi,Kochi,Consumer Goods,302,51785.93,1988,Express Courier,3085.75,6,8,Delayed,2,E-Commerce Retailer,8767,10000,1.67,Foggy,8,1.5522,3085.75,1,0,87.67,Delhi -> Kochi
SHIP-10096,2025-12-11,WH-West-Mumbai,Mumbai,Lucknow,Consumer Goods,413,42947.23,1927,Rail Freight,1275.56,12,15,Delayed,3,SMB,9988,12000,1.6,Foggy,15,0.6619,1275.56,1,0,83.23,Mumbai -> Lucknow
SHIP-10097,2025-11-23,WH-South-Bengaluru,Bengaluru,Lucknow,Consumer Goods,112,26800.41,672,Road Freight (Truck),619.11,4,3,Early,0,SMB,7715,8500,1.4,Clear,3,0.9213,619.11,0,1,90.76,Bengaluru -> Lucknow
SHIP-10098,2025-01-09,WH-West-Mumbai,Mumbai,Lucknow,Industrial Equipment,33,7274.18,1753,Rail Freight,1007.53,11,12,Delayed,1,Enterprise,7702,12000,1.43,Rainy,12,0.5747,1007.53,1,0,64.18,Mumbai -> Lucknow
SHIP-10099,2025-12-10,WH-East-Kolkata,Kolkata,Chandigarh,Consumer Goods,377,68375.03,814,Express Courier,1422.82,4,4,On-Time,0,SMB,4542,7500,1.4,Clear,4,1.7479,1422.82,0,1,60.56,Kolkata -> Chandigarh
SHIP-10100,2025-05-09,WH-North-Delhi,Delhi,Lucknow,Consumer Goods,221,40378.52,1783,Express Courier,2728.67,5,5,On-Time,0,E-Commerce Retailer,4632,10000,1.71,Clear,5,1.5304,2728.67,0,1,46.32,Delhi -> Lucknow
SHIP-10101,2025-05-16,WH-North-Delhi,Delhi,Kochi,Consumer Goods,74,5499.27,1372,Road Freight (Truck),1125.6,7,8,Delayed,1,Individual,6614,10000,1.36,Rainy,8,0.8204,1125.6,1,0,66.14,Delhi -> Kochi
SHIP-10102,2025-03-04,WH-East-Kolkata,Kolkata,Kanpur,Industrial Equipment,218,36918.64,436,Express Courier,823.26,3,3,On-Time,0,Enterprise,5671,7500,1.73,Clear,3,1.8882,823.26,0,1,75.61,Kolkata -> Kanpur
SHIP-10103,2025-05-19,WH-West-Mumbai,Mumbai,Bhopal,Automotive Parts,260,16010.4,717,Express Courier,1216.15,4,6,Delayed,2,E-Commerce Retailer,9998,12000,1.7,Foggy,6,1.6962,1216.15,1,0,83.32,Mumbai -> Bhopal
SHIP-10104,2025-03-22,WH-South-Bengaluru,Bengaluru,Kochi,Apparel,394,19243.26,887,Road Freight (Truck),948.04,5,5,On-Time,0,SMB,4893,8500,1.53,Clear,5,1.0688,948.04,0,1,57.56,Bengaluru -> Kochi
