shipment_id,order_date,origin_city,destination_city,product_category,quantity,order_value,distance_km,shipping_cost,estimated_delivery_days,actual_delivery_days,delivery_status,delay_days,inventory_level,warehouse_capacity,fuel_cost,shipping_cost_standardized,shipping_cost_normalized,distance_km_standardized,distance_km_normalized,transportation_mode_Express Courier,transportation_mode_Rail Freight,transportation_mode_Road Freight (Truck),weather_condition_Foggy,weather_condition_Rainy,weather_condition_Severe Heat,weather_condition_Stormy,warehouse_WH-East-Kolkata,warehouse_WH-North-Delhi,warehouse_WH-South-Bengaluru,warehouse_WH-West-Mumbai,customer_segment_Enterprise,customer_segment_Individual,customer_segment_SMB
SHIP-10011,2025-11-27,Mumbai,Patna,Apparel,350,6081.91,1279,1211.19,8,9,Delayed,1,10205,12000,1.68,0.24360261977858785,0.49345157933212785,0.26351441379551355,0.5856493178372917,False,False,True,False,True,False,False,False,False,False,True,False,False,False
SHIP-10012,2025-03-29,Bengaluru,Surat,Apparel,257,12842.3,506,580.72,5,7,Delayed,2,6388,8500,1.61,-0.9350779530797587,0.1872052907110182,-1.082325516908987,0.19504800404244568,False,False,True,False,False,False,False,False,False,True,False,True,False,False
SHIP-10013,2025-04-10,Delhi,Patna,Consumer Goods,285,56239.05,1168,1058.98,7,7,On-Time,0,5327,10000,1.16,-0.04095805716840242,0.419516661586606,0.07025667471634207,0.5295603840323396,False,False,True,False,False,False,False,False,True,False,False,True,False,False
SHIP-10014,2025-12-26,Mumbai,Lucknow,Consumer Goods,273,32758.41,625,670.58,5,5,On-Time,0,6295,12000,1.45,-0.7670822732265523,0.23085414235422552,-0.8751392921304157,0.2551793835270339,False,False,True,False,False,False,False,False,False,False,True,False,False,True
SHIP-10015,2025-06-01,Nagpur,Kochi,Automotive Parts,67,8050.89,1468,1226.64,7,8,Delayed,1,3862,6000,1.31,0.2724868091145777,0.500956306217144,0.5925748884438325,0.6811520970186964,False,False,True,False,False,False,False,False,False,False,False,True,False,False
SHIP-10016,2025-05-11,Delhi,Surat,Consumer Goods,311,74462.85,1838,1142.57,12,12,On-Time,0,4853,10000,1.54,0.11531568953680019,0.46011990562016597,1.236767352041071,0.8681152097018697,False,True,False,False,True,False,False,False,True,False,False,True,False,False
SHIP-10017,2025-05-30,Delhi,Kochi,Consumer Goods,40,9244.57,799,694.71,6,6,On-Time,0,8051,10000,1.58,-0.7219705911115081,0.24257511709438345,-0.5721947281684713,0.34310257705912084,False,False,True,False,False,False,False,False,True,False,False,False,False,True
SHIP-10018,2025-11-05,Delhi,Indore,Consumer Goods,258,22737.74,1481,1329.46,8,9,Delayed,1,6386,10000,1.67,0.4647115565272938,0.5509003850726367,0.6152086777053571,0.6877210712481052,False,False,True,False,False,True,False,False,True,False,False,False,False,True
SHIP-10019,2025-09-15,Delhi,Coimbatore,Industrial Equipment,102,6541.12,809,1283.63,4,5,Delayed,1,6112,10000,1.44,0.37903114246461367,0.5286387906946244,-0.5547841210442216,0.348155634158666,True,False,False,False,False,True,False,False,True,False,False,False,True,False
SHIP-10020,2025-12-10,Delhi,Surat,Consumer Goods,274,58743.77,1004,952.31,6,5,Early,0,6892,10000,1.75,-0.2403804828298929,0.36770247279536494,-0.21527728212135275,0.4466902475997979,False,False,True,False,False,False,False,False,True,False,False,True,False,False
SHIP-10021,2025-10-21,Bengaluru,Patna,Apparel,280,63816.05,1238,1153.75,7,10,Delayed,3,6657,8500,1.74,0.13621699936051326,0.4655505105764431,0.19213092458608985,0.5649317837291562,False,False,True,True,False,False,False,False,False,True,False,True,False,False
SHIP-10022,2025-07-11,Mumbai,Lucknow,Consumer Goods,103,14654.35,1688,1390.52,8,8,On-Time,0,8611,12000,1.68,0.5788648640260338,0.5805598429107653,0.9756082451773256,0.7923193532086913,False,False,True,False,False,False,False,False,False,False,True,True,False,False
SHIP-10023,2025-10-04,Nagpur,Chandigarh,Perishables,163,26555.08,742,696.41,4,4,On-Time,0,4962,6000,1.49,-0.7187923955211405,0.2434008799231554,-0.6714351887766945,0.31430015159171304,False,False,True,False,False,False,False,False,False,False,False,False,True,False
SHIP-10024,2025-06-10,Kolkata,Indore,Consumer Goods,403,30376.07,1289,2094.72,4,5,Delayed,1,5593,7500,1.39,1.8953856491654493,0.9226199511585571,0.28092502091976324,0.5907023749368369,True,False,False,False,True,False,False,True,False,False,False,False,False,False
SHIP-10025,2025-11-10,Mumbai,Coimbatore,Industrial Equipment,294,59737.46,1012,992.52,6,7,Delayed,1,9844,12000,1.37,-0.16520680948360497,0.38723419241002516,-0.201348796421953,0.4507326932794341,False,False,True,False,False,False,False,False,False,False,True,False,False,False
SHIP-10026,2025-01-22,Mumbai,Chandigarh,Consumer Goods,89,14555.84,1072,890.32,6,5,Early,0,9329,12000,1.16,-0.35627245026924576,0.337591274115614,-0.0968851536764549,0.4810510358767055,False,False,True,False,False,False,False,False,False,False,True,False,True,False
SHIP-10027,2025-09-10,Mumbai,Jaipur,Electronics,301,40131.03,1374,2254.0225000000005,5,5,On-Time,0,6489,12000,1.3,2.193205945068137,1.0000000000000002,0.42891518147588553,0.6336533602829713,False,False,False,False,False,False,False,False,False,False,True,False,False,True
SHIP-10028,2025-08-24,Bengaluru,Indore,Industrial Equipment,93,2708.67,903,807.68,5,5,On-Time,0,4034,8500,1.58,-0.5107701464974784,0.2974494857804854,-0.3911244140762746,0.39565437089439115,False,False,True,False,False,False,False,False,False,True,False,False,False,True
SHIP-10029,2025-12-11,Mumbai,Lucknow,Consumer Goods,374,86111.52,1991,2254.0225000000005,6,6,On-Time,0,10495,12000,1.51,2.193205945068137,1.0000000000000002,1.503149641042091,0.9454269833249117,True,False,False,False,False,False,False,False,False,False,True,True,False,False
SHIP-10030,2025-02-18,Bengaluru,Kanpur,Automotive Parts,383,61138.71,614,711.44,4,4,On-Time,0,7602,8500,1.7,-0.6906934074486532,0.2507015948151809,-0.8942909599670904,0.24962102071753414,False,False,True,False,False,False,False,False,False,True,False,False,False,True
SHIP-10031,2025-02-28,Mumbai,Surat,Automotive Parts,46,2772.99,1181,1782.85,5,5,On-Time,0,9499,12000,1.18,1.3123363204783867,0.7711313315061306,0.09289046397786666,0.5361293582617485,True,False,False,False,False,False,False,False,False,False,True,False,False,True
SHIP-10032,2025-06-19,Bengaluru,Kochi,Automotive Parts,351,55282.76,1568,1397.06,8,8,On-Time,0,6718,8500,1.24,0.5910915694148604,0.5837366010873353,0.7666809596863294,0.7316826680141486,False,False,True,False,False,False,False,False,False,True,False,False,False,True
SHIP-10033,2025-07-07,Mumbai,Lucknow,Electronics,336,58532.51,1790,2254.0225000000005,5,7,Delayed,2,6923,12000,1.62,2.193205945068137,1.0000000000000002,1.1531964378446724,0.8438605356240526,False,False,False,True,False,False,False,False,False,False,True,False,True,False
SHIP-10034,2025-09-28,Mumbai,Surat,Industrial Equipment,416,57639.31,1989,1292.57,11,11,On-Time,0,8459,12000,1.37,0.39574471221631224,0.5329813316882842,1.499667519617241,0.9444163719050026,False,True,False,False,False,False,False,False,False,False,True,False,True,False
SHIP-10035,2025-07-09,Nagpur,Chandigarh,Consumer Goods,434,79749.2,866,934.38,5,5,On-Time,0,5498,6000,1.22,-0.27390109867418383,0.35899310366602255,-0.45554366043599837,0.3769580596260738,False,False,True,True,False,False,False,False,False,False,False,False,False,False
SHIP-10036,2025-06-24,Kolkata,Kochi,Automotive Parts,241,36545.64,556,640.87,5,6,Delayed,1,6392,7500,1.75,-0.8226259149852744,0.21642272256433354,-0.9952724812877386,0.2203132895401718,False,False,True,False,True,False,False,True,False,False,False,False,False,False
SHIP-10037,2025-02-20,Delhi,Bhopal,Apparel,102,24248.04,1974,1618.83,10,11,Delayed,1,5930,10000,1.62,1.0056965318124296,0.6914597908148457,1.4735516089308667,0.9368367862556848,False,False,True,False,True,False,False,False,True,False,False,False,False,False
SHIP-10038,2025-12-30,Nagpur,Patna,Automotive Parts,345,9528.49,1511,1353.51,9,9,On-Time,0,3548,6000,1.4,0.5096736764969088,0.5625825003855583,0.6674404990781062,0.7028802425467409,False,False,True,False,True,False,False,False,False,False,False,True,False,False
SHIP-10039,2025-02-24,Mumbai,Jaipur,Consumer Goods,111,4436.42,464,485.76,3,3,On-Time,0,8127,12000,1.64,-1.1126082197040685,0.1410791505814949,-1.1554500668308356,0.17382516422435573,False,False,True,False,False,False,False,False,False,False,True,True,False,False
SHIP-10040,2025-09-01,Nagpur,Indore,Apparel,421,23497.2,1303,939.6,9,9,On-Time,0,3840,6000,1.56,-0.26414216868493673,0.3615286812931931,0.3052998708937128,0.5977766548762001,False,True,False,False,False,False,False,False,False,False,False,False,False,False
SHIP-10041,2025-11-16,Kolkata,Lucknow,Electronics,441,78140.88,669,1235.84,4,4,On-Time,0,4683,7500,1.62,0.2896864558389208,0.5054251403493218,-0.7985326207837171,0.27741283476503287,True,False,False,False,False,False,False,True,False,False,False,False,False,False
SHIP-10042,2025-05-11,Mumbai,Jaipur,Industrial Equipment,175,29175.13,1805,1070.58,12,13,Delayed,1,8936,12000,1.64,-0.01927154608118699,0.4251512785358738,1.1793123485310468,0.8514401212733704,False,True,False,False,False,True,False,False,False,False,True,True,False,False
SHIP-10043,2025-11-03,Delhi,Kanpur,Consumer Goods,168,37738.48,2055,2254.0225000000005,7,7,On-Time,0,4554,10000,1.2,2.193205945068137,1.0000000000000002,1.614577526637289,0.9777665487620012,True,False,False,False,True,False,False,False,True,False,False,False,True,False
SHIP-10044,2025-05-15,Mumbai,Surat,Apparel,23,4306.2,939,803.53,6,6,On-Time,0,9705,12000,1.52,-0.5185286827916116,0.2954336529926008,-0.3284462284289757,0.413845376452754,False,False,True,False,False,False,False,False,False,False,True,True,False,False
SHIP-10045,2025-01-21,Bengaluru,Surat,Industrial Equipment,382,51365.07,660,1197.45,3,3,On-Time,0,6781,8500,1.15,0.21791532130114455,0.4867774727042882,-0.8142021671955418,0.2728650833754422,True,False,False,False,False,False,False,False,False,True,False,True,False,False
SHIP-10046,2025-11-25,Bengaluru,Lucknow,Apparel,234,58050.83,263,358.9,4,4,On-Time,0,7142,8500,1.18,-1.3497763918182213,0.07945781384148508,-1.5054032700282542,0.07225871652349672,False,False,True,False,False,True,False,False,False,True,False,False,False,False
SHIP-10047,2025-06-16,Mumbai,Coimbatore,Electronics,82,6357.9,707,640.99,4,4,On-Time,0,10145,12000,1.69,-0.8224015717671308,0.21648101170518808,-0.7323723137115683,0.29661445174330475,False,False,True,False,False,False,False,False,False,False,True,True,False,False
SHIP-10048,2025-10-01,Delhi,Coimbatore,Apparel,258,54386.41,776,769.61,6,6,On-Time,0,7162,10000,1.47,-0.5819430324535385,0.27895725584439707,-0.6122391245542456,0.3314805457301668,False,False,True,False,False,False,False,False,True,False,False,True,False,False
SHIP-10049,2025-03-30,Kolkata,Bhopal,Consumer Goods,100,11529.57,1884,1566.5,10,10,On-Time,0,6124,7500,1.59,0.9078641934336373,0.6660408679738815,1.3168561448126195,0.8913592723597777,False,False,True,False,False,False,False,True,False,False,False,True,False,False
SHIP-10050,2025-11-12,Nagpur,Patna,Consumer Goods,225,37676.87,1719,1093.67,10,12,Delayed,2,4088,6000,1.65,0.023895828143279507,0.43636708072195957,1.0295811272624997,0.8079838302172815,False,True,False,False,False,True,False,False,False,False,False,False,False,False
SHIP-10051,2025-01-14,Bengaluru,Kochi,Electronics,99,18404.9,2002,2254.0225000000005,5,4,Early,0,7626,8500,1.72,2.193205945068137,1.0000000000000002,1.5223013088787658,0.9509853461344114,False,False,False,False,False,False,False,False,False,True,False,False,False,True
SHIP-10052,2025-08-30,Delhi,Kanpur,Electronics,38,6229.42,464,773.43,3,3,On-Time,0,5396,10000,1.67,-0.5748014400093003,0.28081279349493177,-1.1554500668308356,0.17382516422435573,True,False,False,False,False,False,False,False,True,False,False,False,False,False
SHIP-10053,2025-09-22,Mumbai,Jaipur,Consumer Goods,444,21320.53,1412,1003.96,9,11,Delayed,2,10564,12000,1.44,-0.1438194226872474,0.3927910905048203,0.49507548854803435,0.6528549772612431,False,True,False,False,True,False,False,False,False,False,True,False,False,True
SHIP-10054,2025-12-12,Delhi,Coimbatore,Industrial Equipment,314,37395.36,1983,1717.49,10,10,On-Time,0,5715,10000,1.35,1.1901440476628342,0.7393831794540493,1.4892211553426913,0.9413845376452755,False,False,True,False,False,False,False,False,True,False,False,True,False,False
SHIP-10055,2025-02-22,Nagpur,Bhopal,Electronics,436,64064.98,815,883.04,5,5,On-Time,0,2989,6000,1.24,-0.36988260550329155,0.334055066237108,-0.5443377567696718,0.35118746841839316,False,False,True,False,False,False,True,False,False,False,False,False,True,False
SHIP-10056,2025-12-06,Delhi,Bhopal,Consumer Goods,229,49126.29,1916,1164.24,12,12,On-Time,0,6563,10000,1.39,0.1558283356799005,0.4706459529728068,1.3725700876102185,0.9075290550783225,False,True,False,False,False,False,False,False,True,False,False,True,False,False
SHIP-10057,2025-04-02,Bengaluru,Lucknow,Perishables,337,40189.53,387,527.06,4,5,Delayed,1,6281,8500,1.37,-1.0353967621263096,0.16114032989225002,-1.2895117416875583,0.1349166245578575,False,False,True,False,False,False,False,False,False,True,False,False,True,False
SHIP-10058,2025-09-21,Mumbai,Kanpur,Electronics,224,51722.86,288,367.04,4,6,Delayed,2,6702,12000,1.49,-1.334558443520813,0.08341176056278164,-1.4618767522176301,0.08489135927235977,False,False,True,True,False,False,False,False,False,False,True,False,False,True
SHIP-10059,2025-02-04,Bengaluru,Chandigarh,Apparel,230,27252.23,1914,1151.01,11,12,Delayed,1,6045,8500,1.55,0.1310944958795675,0.46421957519359874,1.3690879661853685,0.9065184436584134,False,True,False,False,False,True,False,False,False,True,False,False,True,False
SHIP-10060,2025-07-25,Bengaluru,Kochi,Industrial Equipment,398,57297.38,1882,1213.82,11,11,On-Time,0,7052,8500,1.74,0.24851947530956842,0.4947290830025221,1.3133740233877695,0.8903486609398688,False,True,False,False,False,False,False,False,False,True,False,True,False,False
SHIP-10061,2025-03-22,Kolkata,Patna,Perishables,51,10308.48,152,305.45,2,4,Delayed,2,4281,7500,1.59,-1.4497026002330207,0.05349485901921232,-1.698661009107426,0.016169782718544724,True,False,False,False,False,False,False,True,False,False,False,False,False,True
SHIP-10062,2025-02-19,Delhi,Indore,Industrial Equipment,144,21891.01,496,535.85,4,3,Early,0,7227,10000,1.54,-1.0189636213972901,0.1654100094598418,-1.0997361240332366,0.18999494694290045,False,False,True,True,False,False,False,False,True,False,False,True,False,False
SHIP-10063,2025-12-26,Delhi,Lucknow,Industrial Equipment,51,12273.21,1357,778.01,8,8,On-Time,0,6094,10000,1.35,-0.5662390071834859,0.28303749570421166,0.3993171493646611,0.6250631632137443,False,True,False,False,False,False,False,False,True,False,False,True,False,False
SHIP-10064,2025-01-02,Delhi,Kochi,Automotive Parts,173,29440.95,1705,1008.12,10,13,Delayed,3,6989,10000,1.17,-0.13604219112493568,0.39481178072110945,1.0052062772885502,0.8009095502779182,False,True,False,False,False,False,True,False,True,False,False,False,False,True
SHIP-10065,2025-02-23,Nagpur,Indore,Consumer Goods,370,50999.59,1583,1043.48,10,13,Delayed,3,4580,6000,1.32,-0.06993572284528533,0.4119876475595671,0.792796870372704,0.7392622536634664,False,True,False,False,False,False,True,False,False,False,False,True,False,False
SHIP-10066,2025-04-16,Nagpur,Indore,Industrial Equipment,292,5998.88,1635,1074.56,10,10,On-Time,0,3688,6000,1.61,-0.01183082934609057,0.42708453504088123,0.8833320274188023,0.7655381505811016,False,True,False,False,False,False,False,False,False,False,False,False,False,True
SHIP-10067,2025-09-17,Bengaluru,Kanpur,Electronics,67,7519.22,512,853.41,4,4,On-Time,0,7797,8500,1.27,-0.4252766851165845,0.3196625058744524,-1.0718791526344371,0.19807983830217282,True,False,False,False,False,True,False,False,False,True,False,True,False,False
SHIP-10068,2025-11-06,Bengaluru,Kanpur,Perishables,311,26535.57,608,1106.0,3,2,Early,0,6077,8500,1.58,0.04694709380753526,0.4423562899447588,-0.9047373242416402,0.246589186457807,True,False,False,False,False,False,False,False,False,True,False,True,False,False
SHIP-10069,2025-07-10,Bengaluru,Jaipur,Consumer Goods,331,63156.4,841,1448.65,3,4,Delayed,1,7118,8500,1.5,0.6875404579484342,0.6087960742263634,-0.4990701782466226,0.36432541687721076,True,False,False,False,True,False,False,False,False,True,False,False,False,False
SHIP-10070,2025-08-06,Delhi,Bhopal,Apparel,34,2174.14,1065,913.23,6,6,On-Time,0,7908,10000,1.25,-0.31344159087199497,0.34871964259041793,-0.10907257866342968,0.47751389590702376,False,False,True,False,False,False,False,False,True,False,False,False,False,True
SHIP-10071,2025-02-13,Nagpur,Kochi,Consumer Goods,82,5184.59,1172,966.52,6,9,Delayed,3,5104,6000,1.31,-0.21381450674805372,0.374604878558218,0.07722091756604195,0.5315816068721577,False,False,True,False,False,False,True,False,False,False,False,False,False,True
SHIP-10072,2025-06-11,Mumbai,Lucknow,Industrial Equipment,382,22743.12,158,344.36,2,4,Delayed,2,6380,12000,1.45,-1.3769593117499552,0.07239511294128219,-1.688214644832876,0.01920161697827185,False,False,True,False,True,False,False,False,False,False,True,False,False,True
SHIP-10073,2025-07-21,Mumbai,Surat,Electronics,420,18698.26,2002,1769.01,11,12,Delayed,1,6655,12000,1.4,1.2864620693191573,0.7644086505942456,1.5223013088787658,0.9509853461344114,False,False,True,False,True,False,False,False,False,False,True,False,False,False
SHIP-10074,2025-09-27,Bengaluru,Lucknow,Automotive Parts,138,12155.96,1755,1474.16,9,9,On-Time,0,5772,8500,1.62,0.7352320870721298,0.621187374086348,1.0922593129097986,0.8261748357756443,False,False,True,False,False,False,True,False,False,True,False,True,False,False
SHIP-10075,2025-12-17,Delhi,Jaipur,Automotive Parts,96,21426.4,1316,804.68,8,9,Delayed,1,8505,10000,1.59,-0.5163787269510687,0.2959922572591231,0.3279336601552374,0.604345629105609,False,True,False,False,False,False,False,False,True,False,False,False,False,False
SHIP-10076,2025-10-31,Delhi,Patna,Electronics,339,66819.68,1160,1108.04,6,7,Delayed,1,5428,10000,1.49,0.05076092851597656,0.44334720533928523,0.05632818901694232,0.5255179383527034,False,False,True,False,False,False,False,False,True,False,False,False,True,False
SHIP-10077,2025-09-28,Kolkata,Bhopal,Industrial Equipment,435,81686.06,1199,1196.9,6,6,On-Time,0,6798,7500,1.64,0.21688708155131975,0.48651031414203844,0.1242295568015161,0.5452248610409298,False,False,True,True,False,False,False,True,False,False,False,False,False,False
SHIP-10078,2025-08-03,Delhi,Surat,Industrial Equipment,445,90056.5,345,505.83,3,4,Delayed,1,5099,10000,1.49,-1.07508681646955,0.15082800938940905,-1.3626362916094068,0.11369378473976757,False,False,True,False,True,False,False,False,True,False,False,False,False,True
SHIP-10079,2025-09-09,Bengaluru,Coimbatore,Apparel,162,12686.74,1701,1035.87,10,10,On-Time,0,4524,8500,1.73,-0.08416282192922615,0.40829114454371124,0.9982420344388502,0.7988883274381001,False,True,False,False,False,False,True,False,False,True,False,False,False,True
SHIP-10080,2025-07-09,Delhi,Patna,Consumer Goods,191,42697.82,186,296.09,2,2,On-Time,0,5285,10000,1.28,-1.4672013712482224,0.04894830603256174,-1.639464944884977,0.03335017685699849,False,False,True,False,False,False,True,False,True,False,False,False,False,False
SHIP-10081,2025-10-23,Mumbai,Kanpur,Consumer Goods,134,6333.68,1340,1149.12,8,8,On-Time,0,8705,12000,1.58,0.12756109019380546,0.4633015212251404,0.36971911725343665,0.6164729661445175,False,False,True,False,False,False,False,False,False,False,True,False,False,True
SHIP-10082,2025-08-01,Mumbai,Indore,Electronics,76,7147.13,1797,1039.43,11,11,On-Time,0,10574,12000,1.37,-0.07750730645763207,0.41002038905572796,1.165383862831647,0.8473976755937342,False,True,False,False,False,False,False,False,False,False,True,True,False,False
SHIP-10083,2025-07-27,Mumbai,Coimbatore,Consumer Goods,15,2293.29,954,813.32,5,5,On-Time,0,6838,12000,1.32,-0.5002260152447285,0.3001890754006467,-0.30233031774260116,0.4214249621020718,False,False,True,False,False,False,False,False,False,False,True,True,False,False
SHIP-10084,2025-08-25,Kolkata,Lucknow,Automotive Parts,134,5250.48,1166,1011.49,7,7,On-Time,0,5324,7500,1.26,-0.12974188574873596,0.39644873409343984,0.06677455329149214,0.5285497726124306,False,False,True,False,True,False,False,True,False,False,False,False,False,False
SHIP-10085,2025-12-04,Mumbai,Lucknow,Electronics,323,60265.53,1118,1098.9,6,5,Early,0,6391,12000,1.48,0.0336734534007052,0.43890751577753456,-0.01679636090490635,0.5042950985346135,False,False,True,False,False,False,False,False,False,False,True,True,False,False
SHIP-10086,2025-02-22,Bengaluru,Kanpur,Automotive Parts,335,35510.95,1749,1139.29,11,13,Delayed,2,6346,8500,1.28,0.10918364157420823,0.45852666910347645,1.0818129486352488,0.8231430015159172,False,True,False,True,False,False,False,False,False,True,False,False,False,False
SHIP-10087,2025-10-07,Mumbai,Jaipur,Consumer Goods,62,12358.79,1897,1082.78,11,11,On-Time,0,6095,12000,1.27,0.003536681096746743,0.43107734118941415,1.339489934074144,0.8979282465891866,False,True,False,False,False,False,False,False,False,False,True,False,False,True
SHIP-10088,2025-08-05,Bengaluru,Kochi,Apparel,75,9812.3,356,392.77,3,3,On-Time,0,5787,8500,1.74,-1.2864555184971873,0.09590992384766615,-1.3434846237727323,0.1192521475492673,False,False,True,False,False,False,False,False,False,True,False,False,False,True
SHIP-10089,2025-09-09,Nagpur,Coimbatore,Industrial Equipment,323,18574.28,1076,1051.31,7,7,On-Time,0,4547,6000,1.63,-0.05529732786141494,0.41579101400032287,-0.08992091082675502,0.4830722587165236,False,False,True,False,False,False,False,False,False,False,False,True,False,False
SHIP-10090,2025-07-07,Kolkata,Coimbatore,Automotive Parts,91,17077.88,1038,931.11,6,6,On-Time,0,5416,7500,1.6,-0.28001445136859715,0.3574047245777376,-0.1560812178989038,0.46387064173825165,False,False,True,False,False,False,False,True,False,False,False,True,False,False
SHIP-10091,2025-02-10,Delhi,Chandigarh,Consumer Goods,96,7128.37,2066,2254.0225000000005,7,8,Delayed,1,5158,10000,1.63,2.193205945068137,1.0000000000000002,1.6337291944739636,0.9833249115715009,True,False,False,False,True,False,False,False,True,False,False,False,True,False
SHIP-10092,2025-06-06,Delhi,Patna,Consumer Goods,11,1433.74,1709,1392.05,8,8,On-Time,0,5258,10000,1.73,0.5817252400573647,0.5813030294566601,1.01217052013825,0.8029307731177363,False,False,True,False,False,False,False,False,True,False,False,False,False,False
SHIP-10093,2025-01-15,Mumbai,Bhopal,Consumer Goods,213,6975.82,1281,823.19,8,8,On-Time,0,9186,12000,1.49,-0.4817737855524167,0.3049833572359289,0.2669965352203635,0.5866599292572007,False,True,False,False,False,False,False,False,False,False,True,False,False,False
SHIP-10094,2025-10-28,Bengaluru,Patna,Electronics,159,25471.59,592,592.49,4,6,Delayed,2,7056,8500,1.28,-0.9130736224335063,0.1929224839431632,-0.9325942956404397,0.23850429509853463,False,False,True,False,False,False,False,False,False,True,False,False,False,True
SHIP-10095,2025-03-06,Delhi,Kochi,Consumer Goods,302,51785.93,1988,2254.0225000000005,6,8,Delayed,2,8767,10000,1.67,2.193205945068137,1.0000000000000002,1.4979264589048162,0.9439110661950482,True,False,False,True,False,False,False,False,True,False,False,False,False,False
SHIP-10096,2025-12-11,Mumbai,Lucknow,Consumer Goods,413,42947.23,1927,1275.56,12,15,Delayed,3,9988,12000,1.6,0.3639440610444556,0.5247188459721596,1.391721755446893,0.9130874178878222,False,True,False,True,False,False,False,False,False,False,True,False,False,True
SHIP-10097,2025-11-23,Bengaluru,Lucknow,Consumer Goods,112,26800.41,672,619.11,4,3,Early,0,7715,8500,1.4,-0.8633068185419822,0.20585295835605188,-0.7933094386464422,0.27892875189489647,False,False,True,False,False,False,False,False,False,True,False,False,False,True
SHIP-10098,2025-01-09,Mumbai,Lucknow,Industrial Equipment,33,7274.18,1753,1007.53,11,12,Delayed,1,7702,12000,1.43,-0.13714521194747514,0.39452519244524153,1.0887771914849487,0.8251642243557353,False,True,False,False,True,False,False,False,False,False,True,True,False,False
SHIP-10099,2025-12-10,Kolkata,Chandigarh,Consumer Goods,377,68375.03,814,1422.82,4,4,On-Time,0,4542,7500,1.4,0.639250580243022,0.5962493366574334,-0.5460788174820967,0.35068216270843866,True,False,False,False,False,False,False,True,False,False,False,False,False,True
SHIP-10100,2025-05-09,Delhi,Lucknow,Consumer Goods,221,40378.52,1783,2254.0225000000005,5,5,On-Time,0,4632,10000,1.71,2.193205945068137,1.0000000000000002,1.1410090128576975,0.840323395654371,True,False,False,False,False,False,False,False,True,False,False,False,False,False
